Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,GG,AS,SS,MVP,Position
122,Mookie Betts,31,4.8,116,516,450,75,130,24,5,19,75,16,2,61,57,0.289,0.372,0.491,0.863,145,0.377,145,221,10,1,0,4,2,0,1,1,13.0,6.0
123,Andrew McCutchen,37,0.8,120,515,448,66,104,18,1,20,50,3,2,58,133,0.232,0.328,0.411,0.739,106,0.332,110,184,9,7,0,2,1,0,0,0,,9.0
124,Tyler Stephenson,27,2.4,138,515,457,69,118,26,1,19,66,1,0,48,117,0.258,0.338,0.444,0.782,113,0.345,114,203,9,8,0,2,2,0,0,0,,2.0
125,Jake Meyers,28,1.7,148,513,461,51,101,20,3,13,61,11,3,35,117,0.219,0.286,0.36,0.646,83,0.288,83,166,17,10,3,4,0,0,0,0,,8.0
126,Daulton Varsho,27,5.0,136,513,459,73,98,21,7,18,58,10,2,48,137,0.214,0.293,0.407,0.7,97,0.306,94,187,2,4,1,1,1,1,0,0,,8.0
127,Joey Ortiz,25,2.7,142,511,440,58,105,25,6,11,60,11,6,56,103,0.239,0.329,0.398,0.726,102,0.317,98,175,10,6,3,6,0,0,0,0,,5.0
128,Jesse Winker,30,2.0,145,508,430,63,109,23,0,14,58,14,4,63,106,0.253,0.36,0.405,0.764,118,0.344,122,174,12,10,2,3,2,0,0,0,,7.0
129,Ryan Mountcastle,27,2.6,124,507,473,54,128,30,2,13,63,3,0,27,114,0.271,0.308,0.425,0.733,112,0.323,114,201,13,1,0,6,0,0,0,0,,3.0
130,Gavin Sheets,28,-1.0,139,501,451,35,105,24,1,10,45,2,2,43,106,0.233,0.303,0.357,0.66,90,0.292,88,161,6,4,0,3,2,0,0,0,,9.0
131,Charlie Blackmon,37,0.6,124,499,449,59,115,24,5,12,52,6,2,43,86,0.256,0.329,0.412,0.741,99,0.329,100,185,4,6,0,1,2,0,0,0,,9.0
